OBJECTID,PostalCode,TotalVaccinated,VaccinatedAge75Up,VaccinatedAge65To74,VaccinatedAge55To64,VaccinatedAge45To54,VaccinatedAge35To44,VaccinatedAge25To34,VaccinatedAge15To24,VaccinatedAge0To14,StartDate,CreateDate
1164,85016,20896,1951,2749,3315,2923,3398,4552,1767,241,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1165,85021,16996,2072,2336,2905,2571,2739,2214,1788,371,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1166,85379,18697,1441,2652,2838,3628,3085,2078,2475,500,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1167,85015,15429,1079,1801,2605,2497,2691,2750,1720,286,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1168,85051,16255,1350,1935,2854,2813,2530,2377,2041,355,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1169,85017,12745,647,1175,1956,2379,1972,1853,2444,319,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1170,85029,17333,1882,2400,3165,2687,2527,2452,1876,344,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1171,85042,19799,1288,2578,3624,3313,3088,3170,2325,413,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1172,85027,15794,1132,2172,2667,2337,2822,3031,1415,218,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1173,85202,17030,1451,2373,2627,2404,2717,3312,1877,269,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1174,85210,14863,903,1866,2550,2269,2428,2820,1796,231,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1175,85323,16512,840,1734,2718,2916,2879,2635,2349,441,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1176,85022,23329,2551,4060,4361,3262,3223,3500,2034,338,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1177,85224,24118,2082,3286,4137,3640,3966,4130,2421,456,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1178,85283,22713,2006,3116,3340,3073,3779,4466,2551,382,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1179,85251,22395,2871,3015,3455,2785,3117,4948,2006,198,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1180,85234,23082,1902,3130,4197,3875,3578,2993,2884,523,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1181,85338,27755,2163,4714,5076,4571,4180,3300,3115,636,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1182,85201,19571,1847,2383,3148,2873,2921,3635,2449,315,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1183,85037,18994,893,1803,3045,3532,3192,3066,2989,474,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1184,85035,16520,796,1528,2579,3039,2640,2683,2771,484,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1185,85041,24880,1497,2776,4279,4330,4311,3752,3243,692,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1186,85308,32043,3312,5380,6062,4669,3992,4701,3415,512,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1187,85345,23999,2428,3911,4668,3615,3313,3106,2547,411,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1188,85033,19170,1004,1699,3214,3586,3013,2932,3152,570,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1189,85009,17526,1007,1833,3021,3225,2733,2586,2641,480,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1190,85008,22462,981,1944,3455,3733,3960,5089,2883,417,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1191,85204,22494,1870,3124,3879,3521,3459,3561,2678,402,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1192,85032,31234,2988,4636,5422,4728,5117,4862,2931,550,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1193,85326,25439,1847,3660,4211,4446,4172,3556,3002,545,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1194,85301,19674,1491,2332,3549,3407,2995,2743,2684,473,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1195,85282,26411,2849,2915,3534,2980,3694,6093,4036,310,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1196,85225,32306,2114,4020,5685,5420,5293,5325,3781,668,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1197,85281,30607,971,1714,2451,2302,3332,9351,10278,208,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1198,85248,26329,7393,6074,3827,3095,2375,1366,1696,503,2021/07/28 07:00:00+00,2021/07/29 23:32:00+00
1199,85190,,,,,,,,,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1200,85333,,,,,,,,,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1201,85139,4,0,,0,0,,,0,0,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1202,85343,107,18,17,16,18,16,11,11,0,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1203,85377,2728,837,948,533,153,75,90,79,13,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1204,85263,3210,999,1316,709,78,28,39,32,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1205,85322,255,36,47,57,31,29,33,16,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1206,85320,852,60,65,93,84,146,297,101,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1207,85264,752,45,112,154,110,132,94,88,17,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1208,85342,548,123,164,89,58,40,29,38,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1209,85375,23343,11599,8306,2529,422,193,154,120,20,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1210,85351,22663,10062,8273,3283,518,224,199,97,,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1211,85337,1078,112,212,192,154,154,136,90,28,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1212,85262,10564,1975,3475,2739,1068,391,398,439,79,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1213,85266,8997,2210,2596,1876,971,362,288,555,139,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1214,85363,3090,488,448,506,445,387,323,421,72,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1215,85045,5292,320,609,1167,1111,647,454,775,209,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1216,85361,2331,280,555,530,335,206,161,215,49,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1217,85390,4309,1317,1464,792,279,162,141,134,20,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1218,85256,2505,120,263,414,353,440,423,363,129,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1219,85378,4261,878,1028,679,479,430,359,335,73,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1220,85087,3786,464,893,763,607,412,218,344,85,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1221,85373,11538,4425,3478,1553,694,564,369,372,83,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1222,85034,2630,147,330,387,359,404,615,338,50,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1223,85354,2365,192,431,457,401,294,226,288,76,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1224,85253,12602,2190,2505,2546,1706,1059,996,1307,293,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1225,85387,9153,2424,2731,1360,859,660,605,420,94,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1226,85012,6955,513,780,924,1065,1439,1537,600,97,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1227,85355,5313,374,865,1003,992,805,475,681,118,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1228,85268,15905,3777,4578,3466,1605,851,660,820,148,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1229,85215,10438,2637,2663,1978,1013,734,699,572,142,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1230,85028,12873,1854,2404,2409,1897,1769,1225,1034,281,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1231,85004,6075,276,478,705,728,1011,1819,1010,48,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1232,85003,5476,294,756,999,861,921,1122,449,74,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1233,85284,13087,1136,2312,2530,1980,1796,1446,1502,385,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1234,85258,18546,4199,4145,3220,2169,1785,1499,1257,272,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1235,85250,11143,1977,2065,1905,1321,1396,1542,745,192,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1236,85259,15802,2171,3206,3342,2263,1495,1243,1669,413,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1237,85083,10454,691,1399,1874,2224,1705,821,1344,396,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1238,85007,7989,503,928,1363,1208,1336,1344,1122,185,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1239,85054,5520,497,810,858,721,804,1325,449,56,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1240,85307,4002,232,482,672,693,610,658,541,114,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1241,85331,17833,2303,3824,3977,2946,1768,998,1624,393,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1242,85310,9901,931,1682,2154,1612,1282,973,1046,221,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1243,85305,7842,563,979,1291,1327,1142,1276,1073,191,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1244,85249,28205,3426,3908,4223,5851,4087,1674,3856,1180,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1245,85255,31945,5542,6230,6609,4966,2847,2167,2947,637,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1246,85050,19859,2314,2486,2975,3613,3545,2131,2108,687,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1247,85085,14454,830,1675,2175,2635,3002,2150,1480,507,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1248,85381,13304,1967,2237,2498,1800,1575,1582,1393,252,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1249,85013,13210,846,1554,1962,2017,2437,2932,1248,214,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1250,85396,16659,1978,4585,3089,2102,1954,1286,1352,313,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1251,85298,20980,2264,3297,2966,4154,3610,1366,2530,793,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1252,85374,26204,9406,6986,3282,2001,1493,1342,1454,240,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1253,85086,19562,2730,3868,3809,3231,2089,1206,2151,478,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1254,85208,17105,3829,3724,2749,2048,1631,1472,1364,288,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1255,85024,13404,885,1623,2254,2207,2368,2379,1383,305,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1256,85260,24417,3666,4132,4194,3623,3072,2972,2215,543,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1257,85304,12923,1462,2291,2417,1882,1631,1497,1465,278,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1258,85014,14116,984,1661,2107,2073,2535,3154,1350,252,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1259,85020,19285,2559,3136,3408,2924,2799,2490,1604,365,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1260,85395,21614,4123,5051,3177,2879,2545,1533,1824,482,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1261,85388,12660,1009,1875,1986,2385,1974,1161,1847,423,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1262,85297,16559,1008,1671,2161,3497,3381,1625,2522,694,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1263,85006,10911,494,1128,1693,1781,2009,2346,1246,214,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1264,85206,19754,5086,4302,2983,1795,1726,2204,1410,248,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1265,85019,10805,629,1013,1777,1945,1657,1547,1823,414,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1266,85306,10313,1212,1699,1925,1483,1297,1411,1108,178,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1267,85213,17370,2436,3357,3013,2217,2242,1959,1790,356,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1268,85340,17266,1694,2409,2870,3199,2516,1702,2295,581,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1269,85018,22983,2242,3038,3853,3707,3904,3634,2085,520,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1270,85335,13293,1023,1773,2033,2186,2113,1869,1884,412,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1271,85209,23311,5650,4808,3195,2726,2362,2282,1921,367,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1272,85257,16563,2111,2306,2623,2041,2281,3526,1461,214,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1273,85205,22773,4806,5482,4283,2268,2170,1986,1474,304,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1274,85254,29846,3674,5160,5433,4433,4387,3237,2789,733,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1275,85382,22877,4680,4144,3601,3013,2547,2218,2220,454,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1276,85048,21651,1438,2852,4622,3765,2996,2381,2880,717,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1277,85203,14596,1340,2010,2483,2063,2319,2188,1806,387,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1278,85040,13482,754,1426,2136,2236,2212,2425,1863,430,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1279,85044,23363,2295,3627,4269,3463,3432,3269,2422,586,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1280,85023,16080,1638,2312,2733,2336,2607,2374,1665,415,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1281,85053,11972,1132,1849,2087,1847,1669,1756,1363,269,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1282,85353,17455,728,1437,2489,3035,3332,2919,2850,665,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1283,85207,24235,3426,5027,5428,3538,2280,1949,2144,443,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1284,85031,12562,640,1206,1966,2227,1901,1801,2260,561,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1285,85286,27113,1240,2506,3945,5552,5405,3512,3841,1112,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1286,85043,14427,500,1102,2046,2705,2662,2369,2473,570,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1287,85233,20355,1438,2729,3755,3205,3234,3114,2332,548,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1288,85303,14243,726,1584,2378,2595,2208,2044,2224,484,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1289,85383,35568,3316,6277,6401,6248,5473,2907,3777,1169,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1290,85339,21900,1041,2153,3359,4083,4004,3180,3194,886,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1291,85295,23574,1096,1943,3246,4782,4535,3488,3594,890,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1292,85302,17541,2036,2666,3005,2649,2346,2417,2048,374,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1293,85212,22397,1499,3024,3573,3892,4031,2838,2851,689,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1294,85226,24590,1518,2821,4520,3780,3971,4175,3066,739,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1295,85392,17590,1121,2139,2941,3104,2636,2500,2583,566,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1296,85296,23306,1577,2326,3727,4186,4344,3284,3141,721,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1297,85016,22013,1992,2808,3398,3118,3614,4793,1957,333,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1298,85021,18325,2123,2417,3027,2770,2978,2443,2071,496,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1299,85379,20080,1488,2721,2983,3846,3315,2238,2806,683,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1300,85015,17006,1119,1870,2743,2733,3008,3016,2043,474,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1301,85051,18112,1406,2003,3060,3112,2844,2709,2424,554,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1302,85017,14556,667,1245,2116,2683,2252,2160,2927,506,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1303,85029,18938,1920,2501,3343,2941,2814,2751,2189,479,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1304,85042,21472,1322,2667,3753,3594,3378,3455,2682,621,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1305,85027,16847,1183,2233,2787,2521,3030,3215,1591,287,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1306,85202,18205,1498,2413,2732,2583,2914,3585,2102,378,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1307,85210,16275,934,1920,2686,2497,2695,3081,2118,344,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1308,85323,18378,883,1805,2877,3172,3174,2972,2822,673,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1309,85022,24771,2631,4135,4545,3469,3464,3754,2301,472,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1310,85224,25450,2122,3347,4297,3810,4210,4381,2676,607,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1311,85283,23928,2044,3175,3446,3246,3995,4711,2800,511,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1312,85251,23414,2937,3073,3551,2938,3303,5201,2139,272,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1313,85234,24393,1952,3194,4354,4029,3783,3180,3195,706,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1314,85338,29684,2228,4824,5223,4859,4534,3563,3592,861,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1315,85201,21349,1887,2429,3307,3139,3230,3972,2905,480,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1316,85037,21096,926,1877,3192,3884,3540,3421,3520,736,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1317,85035,19139,830,1611,2774,3403,3092,3145,3444,840,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1318,85041,27763,1565,2892,4529,4773,4780,4208,3945,1071,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1319,85308,33714,3406,5510,6275,4917,4251,4967,3717,671,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1320,85345,26056,2524,4052,4924,3922,3642,3446,2953,593,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1321,85033,22061,1044,1770,3432,4001,3481,3426,3915,992,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1322,85009,20123,1045,1933,3269,3669,3147,2985,3295,780,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1323,85008,24924,1016,2024,3700,4171,4395,5572,3399,647,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1324,85204,24926,1932,3240,4122,3879,3881,3937,3307,628,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1325,85032,33443,3055,4746,5674,5102,5532,5244,3353,737,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1326,85326,27810,1910,3782,4431,4742,4558,3951,3577,859,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1327,85301,22547,1548,2483,3800,3858,3458,3255,3382,763,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1328,85282,27726,2889,2974,3632,3162,3951,6440,4250,428,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1329,85225,34636,2184,4134,5936,5799,5714,5687,4252,930,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1330,85281,32206,997,1755,2580,2460,3585,9882,10659,288,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1331,85248,27047,7504,6089,3884,3199,2446,1457,1880,588,2021/08/04 15:49:18+00,2021/08/09 15:49:18+00
1332,85190,,,,,,,,,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1333,85333,,,,,,,,,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1334,85139,4,0,,0,0,,,0,0,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1335,85343,109,18,17,16,18,17,11,12,0,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1336,85377,2744,845,944,538,153,77,92,83,12,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1337,85263,3224,1005,1317,710,82,29,39,33,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1338,85322,259,36,47,57,32,30,34,17,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1339,85320,952,61,66,96,100,165,339,117,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1340,85264,775,45,114,154,112,133,96,94,27,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1341,85342,563,124,167,92,62,40,32,39,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1342,85375,23432,11653,8315,2547,421,199,156,121,20,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1343,85351,22782,10115,8296,3302,531,226,205,99,,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1344,85337,1089,114,211,192,155,155,137,94,31,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1345,85262,10613,1987,3479,2739,1072,397,403,451,85,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1346,85266,9070,2221,2600,1883,989,372,293,566,146,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1347,85363,3209,493,451,511,457,398,343,472,84,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1348,85045,5381,321,616,1177,1122,654,466,808,217,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1349,85361,2403,284,560,540,346,216,168,229,60,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1350,85390,4361,1324,1475,800,283,168,147,141,23,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1351,85256,2627,123,263,414,359,461,445,405,157,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1352,85378,4346,882,1034,685,500,447,372,344,82,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1353,85087,3867,465,898,779,624,421,223,363,94,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1354,85373,11643,4451,3488,1568,709,582,374,382,89,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1355,85034,2688,147,336,387,369,419,624,352,54,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1356,85354,2443,196,433,470,414,301,236,305,88,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1357,85253,12719,2196,2511,2567,1718,1069,1017,1341,300,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1358,85387,9251,2429,2749,1361,877,671,620,439,105,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1359,85012,7042,514,781,936,1070,1456,1569,611,105,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1360,85355,5429,377,877,1016,1010,823,485,706,135,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1361,85268,16083,3796,4599,3484,1632,875,678,848,171,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1362,85215,10560,2653,2664,1990,1037,752,711,601,152,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1363,85028,13043,1863,2425,2420,1924,1799,1250,1068,294,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1364,85004,6145,277,483,710,735,1019,1849,1018,54,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1365,85003,5537,295,760,1006,869,939,1136,457,75,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1366,85284,13215,1143,2325,2542,1995,1813,1470,1527,400,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1367,85258,18703,4217,4156,3235,2194,1809,1517,1287,288,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1368,85250,11269,1986,2070,1925,1342,1415,1569,759,203,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1369,85259,15971,2178,3217,3371,2277,1514,1269,1707,438,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1370,85083,10636,696,1403,1907,2258,1730,838,1380,424,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1371,85007,8275,507,942,1381,1234,1369,1373,1259,210,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1372,85054,5596,499,813,865,731,826,1343,460,59,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1373,85307,4122,235,486,685,707,628,684,573,124,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1374,85331,18082,2313,3848,4013,2981,1797,1026,1691,413,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1375,85310,10066,936,1688,2175,1640,1307,991,1082,247,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1376,85305,7991,569,984,1311,1348,1167,1313,1099,200,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1377,85249,28612,3447,3915,4264,5932,4129,1710,3975,1240,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1378,85255,32236,5560,6240,6653,5018,2877,2193,3024,671,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1379,85050,20144,2332,2491,3004,3659,3589,2168,2173,728,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1380,85085,14732,841,1680,2193,2696,3059,2200,1537,526,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1381,85381,13555,1978,2271,2521,1835,1614,1631,1441,264,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1382,85013,13383,850,1570,1974,2043,2468,2968,1283,227,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1383,85396,16925,1996,4596,3110,2146,2014,1313,1412,338,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1384,85298,21315,2275,3306,2997,4232,3668,1400,2606,831,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1385,85374,26472,9446,6989,3312,2033,1535,1386,1504,267,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1386,85086,19924,2764,3893,3847,3306,2143,1242,2215,514,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1387,85208,17460,3846,3743,2789,2100,1686,1523,1442,331,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1388,85024,13665,892,1632,2277,2250,2419,2429,1437,329,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1389,85260,24690,3690,4150,4227,3654,3113,3039,2250,567,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1390,85304,13176,1475,2305,2456,1917,1688,1528,1514,293,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1391,85014,14346,996,1668,2130,2098,2573,3202,1407,272,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1392,85020,19616,2577,3158,3439,2975,2860,2540,1670,397,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1393,85395,21913,4146,5071,3210,2918,2585,1574,1890,519,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
1394,85388,12924,1013,1887,2006,2438,2023,1198,1907,452,2021/08/12 00:21:34+00,2021/08/12 00:21:34+00
